m_mapkey,m_name,m_atkwin,m_defwin,m_description
1,Split,47.1,52.9,pair of sites split by an elevated center allows for rapid movement using two rope ascenders
2,Bind,50.9,49.1,"doesn't contain a mid section, instead having two one-way teleporters"
3,Ascent,48.2,51.8,open playground for small wars of position and attrition divide two sites
4,Icebox,51.6,48.4,secret kingdom excavation site overtaken by the arctic
5,Breeze,51.2,48.8,historic ruins or seaside caves on this tropical paradise
6,Haven,51.2,48.8,"beneath a forgotten monastery, a clamour emerges from rival agents clashing to control three sites"
