kda_agentkey,kda_mapkey,kda_kill,kda_death,kda_assist,kda_winrate,kda_atkwin,kda_defwin,kda_agentpr
95,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
96,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
97,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
98,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
99,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
100,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
101,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
102,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
103,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
104,3,11,11,3.1,0.51,0.48,0.51,0.06
105,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
106,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
107,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
108,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
109,3,10.3,11,3.2,0.48,0.49,0.51,0.03
110,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
111,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
112,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
113,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
114,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
115,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
116,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
117,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
118,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
119,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
120,3,11,11,3.1,0.51,0.48,0.51,0.06
121,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
122,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
123,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
124,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
125,3,10.3,11,3.2,0.48,0.49,0.51,0.03
126,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
127,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
128,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
129,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
130,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
131,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
132,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
133,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
134,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
135,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
136,3,11,11,3.1,0.51,0.48,0.51,0.06
137,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
138,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
139,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
140,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
141,3,10.3,11,3.2,0.48,0.49,0.51,0.03
142,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
143,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
144,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
145,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
146,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
147,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
148,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
149,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
150,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
151,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
152,3,11,11,3.1,0.51,0.48,0.51,0.06
153,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
154,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
155,3,10.9,10.9,3.7,0.51,0.48,0.52,0.10
156,3,10.1,11.2,3.9,0.48,0.48,0.50,0.03
157,3,10.3,11,3.2,0.48,0.49,0.51,0.03
158,3,9.5,10.4,2.4,0.46,0.48,0.49,0.04
159,3,12.6,12.2,3.9,0.50,0.48,0.50,0.01
160,3,9.2,10.2,4.4,0.47,0.47,0.50,0.03
161,3,11.2,12.2,5.3,0.50,0.49,0.52,0.04
162,3,10.5,11.3,3.9,0.47,0.49,0.51,0.04
163,3,12.1,12.6,4.4,0.49,0.48,0.51,0.07
164,3,11.3,11.5,3.6,0.53,0.49,0.53,0.07
165,3,11.1,11.6,3.5,0.49,0.48,0.51,0.04
166,3,11.3,11.6,4.8,0.50,0.48,0.52,0.09
167,3,10.8,11.9,3.7,0.51,0.49,0.52,0.13
168,3,11,11,3.1,0.51,0.48,0.51,0.06
169,3,12.4,11.5,2.9,0.49,0.49,0.51,0.13
170,3,13.4,11.9,3.4,0.51,0.49,0.52,0.13
1,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
2,4,11.2,11.8,4,0.50,0.52,0.49,0.06
3,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
4,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
5,4,11,11.6,3.4,0.49,0.51,0.48,0.03
6,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
7,4,10.8,12,3.6,0.50,0.52,0.49,0.14
8,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
9,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
10,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
11,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
12,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
13,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
14,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
15,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
16,4,9.1,10,4.4,0.48,0.50,0.47,0.01
17,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
18,4,11.2,11.8,4,0.50,0.52,0.49,0.06
19,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
20,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
21,4,11,11.6,3.4,0.49,0.51,0.48,0.03
22,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
23,4,10.8,12,3.6,0.50,0.52,0.49,0.14
24,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
25,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
26,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
27,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
28,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
29,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
30,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
31,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
32,4,9.1,10,4.4,0.48,0.50,0.47,0.01
33,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
34,4,11.2,11.8,4,0.50,0.52,0.49,0.06
35,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
36,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
37,4,11,11.6,3.4,0.49,0.51,0.48,0.03
38,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
39,4,10.8,12,3.6,0.50,0.52,0.49,0.14
40,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
41,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
42,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
43,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
44,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
45,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
46,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
47,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
48,4,9.1,10,4.4,0.48,0.50,0.47,0.01
49,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
50,4,11.2,11.8,4,0.50,0.52,0.49,0.06
51,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
52,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
53,4,11,11.6,3.4,0.49,0.51,0.48,0.03
54,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
55,4,10.8,12,3.6,0.50,0.52,0.49,0.14
56,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
57,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
58,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
59,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
60,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
61,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
62,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
63,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
64,4,9.1,10,4.4,0.48,0.50,0.47,0.01
65,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
66,4,11.2,11.8,4,0.50,0.52,0.49,0.06
67,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
68,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
69,4,11,11.6,3.4,0.49,0.51,0.48,0.03
70,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
71,4,10.8,12,3.6,0.50,0.52,0.49,0.14
72,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
73,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
74,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
75,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
76,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
77,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
78,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
79,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
80,4,9.1,10,4.4,0.48,0.50,0.47,0.01
81,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
82,4,11.2,11.8,4,0.50,0.52,0.49,0.06
83,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
84,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
85,4,11,11.6,3.4,0.49,0.51,0.48,0.03
86,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
87,4,10.8,12,3.6,0.50,0.52,0.49,0.14
88,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
89,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
90,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
91,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
92,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
93,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
94,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
95,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
96,4,9.1,10,4.4,0.48,0.50,0.47,0.01
97,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
98,4,11.2,11.8,4,0.50,0.52,0.49,0.06
99,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
100,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
101,4,11,11.6,3.4,0.49,0.51,0.48,0.03
102,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
103,4,10.8,12,3.6,0.50,0.52,0.49,0.14
104,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
105,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
106,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
107,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
108,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
109,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
110,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
111,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
112,4,9.1,10,4.4,0.48,0.50,0.47,0.01
113,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
114,4,11.2,11.8,4,0.50,0.52,0.49,0.06
115,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
116,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
117,4,11,11.6,3.4,0.49,0.51,0.48,0.03
118,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
119,4,10.8,12,3.6,0.50,0.52,0.49,0.14
120,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
121,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
122,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
123,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
124,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
125,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
126,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
127,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
128,4,9.1,10,4.4,0.48,0.50,0.47,0.01
129,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
130,4,11.2,11.8,4,0.50,0.52,0.49,0.06
131,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
132,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
133,4,11,11.6,3.4,0.49,0.51,0.48,0.03
134,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
135,4,10.8,12,3.6,0.50,0.52,0.49,0.14
136,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
137,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
138,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
139,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
140,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
141,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
142,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
143,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
144,4,9.1,10,4.4,0.48,0.50,0.47,0.01
145,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
146,4,11.2,11.8,4,0.50,0.52,0.49,0.06
147,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
148,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
149,4,11,11.6,3.4,0.49,0.51,0.48,0.03
150,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
151,4,10.8,12,3.6,0.50,0.52,0.49,0.14
152,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
153,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
154,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
155,4,10.8,11.1,3.4,0.49,0.51,0.48,0.10
156,4,10.1,10.9,3.6,0.51,0.51,0.47,0.02
157,4,10.5,11.3,3.1,0.50,0.52,0.49,0.04
158,4,9.6,10.3,2.4,0.46,0.50,0.47,0.04
159,4,11.5,11.3,3.2,0.48,0.52,0.47,0.01
160,4,9.1,10,4.4,0.48,0.50,0.47,0.01
161,4,11.1,12.2,4.6,0.48,0.50,0.48,0.03
162,4,11.2,11.8,4,0.50,0.52,0.49,0.06
163,4,12.1,12.5,3.8,0.48,0.51,0.48,0.07
164,4,10.9,11.5,3.5,0.53,0.52,0.50,0.06
165,4,11,11.6,3.4,0.49,0.51,0.48,0.03
166,4,11.1,11.8,4.3,0.49,0.52,0.48,0.08
167,4,10.8,12,3.6,0.50,0.52,0.49,0.14
168,4,10.5,10.7,2.8,0.50,0.51,0.48,0.06
169,4,12.9,11.5,3.1,0.51,0.52,0.49,0.14
170,4,13.6,11.9,3.4,0.51,0.52,0.49,0.14
1,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
2,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
3,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
4,5,10,10.8,3.2,0.53,0.52,0.49,0.05
5,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
6,5,10.4,11.5,4,0.48,0.51,0.48,0.08
7,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
8,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
9,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
10,5,13,11.2,3.1,0.52,0.52,0.49,0.14
11,5,10.1,10.3,3,0.50,0.51,0.48,0.09
12,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
13,5,10.4,11.2,3,0.49,0.51,0.49,0.05
14,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
15,5,10.2,11,3,0.45,0.51,0.49,0.01
16,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
17,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
18,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
19,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
20,5,10,10.8,3.2,0.53,0.52,0.49,0.05
21,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
22,5,10.4,11.5,4,0.48,0.51,0.48,0.08
23,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
24,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
25,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
26,5,13,11.2,3.1,0.52,0.52,0.49,0.14
27,5,10.1,10.3,3,0.50,0.51,0.48,0.09
28,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
29,5,10.4,11.2,3,0.49,0.51,0.49,0.05
30,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
31,5,10.2,11,3,0.45,0.51,0.49,0.01
32,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
33,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
34,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
35,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
36,5,10,10.8,3.2,0.53,0.52,0.49,0.05
37,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
38,5,10.4,11.5,4,0.48,0.51,0.48,0.08
39,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
40,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
41,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
42,5,13,11.2,3.1,0.52,0.52,0.49,0.14
43,5,10.1,10.3,3,0.50,0.51,0.48,0.09
44,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
45,5,10.4,11.2,3,0.49,0.51,0.49,0.05
46,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
47,5,10.2,11,3,0.45,0.51,0.49,0.01
48,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
49,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
50,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
51,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
52,5,10,10.8,3.2,0.53,0.52,0.49,0.05
53,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
54,5,10.4,11.5,4,0.48,0.51,0.48,0.08
55,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
56,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
57,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
58,5,13,11.2,3.1,0.52,0.52,0.49,0.14
59,5,10.1,10.3,3,0.50,0.51,0.48,0.09
60,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
61,5,10.4,11.2,3,0.49,0.51,0.49,0.05
62,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
63,5,10.2,11,3,0.45,0.51,0.49,0.01
64,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
65,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
66,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
67,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
68,5,10,10.8,3.2,0.53,0.52,0.49,0.05
69,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
70,5,10.4,11.5,4,0.48,0.51,0.48,0.08
71,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
72,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
73,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
74,5,13,11.2,3.1,0.52,0.52,0.49,0.14
75,5,10.1,10.3,3,0.50,0.51,0.48,0.09
76,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
77,5,10.4,11.2,3,0.49,0.51,0.49,0.05
78,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
79,5,10.2,11,3,0.45,0.51,0.49,0.01
80,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
81,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
82,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
83,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
84,5,10,10.8,3.2,0.53,0.52,0.49,0.05
85,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
86,5,10.4,11.5,4,0.48,0.51,0.48,0.08
87,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
88,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
89,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
90,5,13,11.2,3.1,0.52,0.52,0.49,0.14
91,5,10.1,10.3,3,0.50,0.51,0.48,0.09
92,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
93,5,10.4,11.2,3,0.49,0.51,0.49,0.05
94,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
95,5,10.2,11,3,0.45,0.51,0.49,0.01
96,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
97,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
98,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
99,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
100,5,10,10.8,3.2,0.53,0.52,0.49,0.05
101,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
102,5,10.4,11.5,4,0.48,0.51,0.48,0.08
103,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
104,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
105,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
106,5,13,11.2,3.1,0.52,0.52,0.49,0.14
107,5,10.1,10.3,3,0.50,0.51,0.48,0.09
108,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
109,5,10.4,11.2,3,0.49,0.51,0.49,0.05
110,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
111,5,10.2,11,3,0.45,0.51,0.49,0.01
112,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
113,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
114,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
115,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
116,5,10,10.8,3.2,0.53,0.52,0.49,0.05
117,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
118,5,10.4,11.5,4,0.48,0.51,0.48,0.08
119,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
120,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
121,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
122,5,13,11.2,3.1,0.52,0.52,0.49,0.14
123,5,10.1,10.3,3,0.50,0.51,0.48,0.09
124,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
125,5,10.4,11.2,3,0.49,0.51,0.49,0.05
126,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
127,5,10.2,11,3,0.45,0.51,0.49,0.01
128,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
129,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
130,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
131,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
132,5,10,10.8,3.2,0.53,0.52,0.49,0.05
133,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
134,5,10.4,11.5,4,0.48,0.51,0.48,0.08
135,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
136,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
137,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
138,5,13,11.2,3.1,0.52,0.52,0.49,0.14
139,5,10.1,10.3,3,0.50,0.51,0.48,0.09
140,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
141,5,10.4,11.2,3,0.49,0.51,0.49,0.05
142,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
143,5,10.2,11,3,0.45,0.51,0.49,0.01
144,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
145,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
146,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
147,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
148,5,10,10.8,3.2,0.53,0.52,0.49,0.05
149,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
150,5,10.4,11.5,4,0.48,0.51,0.48,0.08
151,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
152,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
153,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
154,5,13,11.2,3.1,0.52,0.52,0.49,0.14
155,5,10.1,10.3,3,0.50,0.51,0.48,0.09
156,5,9.5,10.5,3.3,0.48,0.51,0.47,0.02
157,5,10.4,11.2,3,0.49,0.51,0.49,0.05
158,5,9.9,10.2,2.4,0.49,0.50,0.47,0.06
159,5,10.2,11,3,0.45,0.51,0.49,0.01
160,5,8.8,9.6,3.8,0.48,0.50,0.48,0.01
161,5,10.5,11.8,3.9,0.48,0.51,0.48,0.03
162,5,11.2,11.6,3.8,0.50,0.52,0.49,0.07
163,5,11.4,12.1,3.4,0.49,0.51,0.48,0.06
164,5,10,10.8,3.2,0.53,0.52,0.49,0.05
165,5,10.4,10.9,3.1,0.50,0.51,0.47,0.03
166,5,10.4,11.5,4,0.48,0.51,0.48,0.08
167,5,10.3,11.6,3.4,0.51,0.52,0.49,0.13
168,5,10.6,10.7,2.8,0.49,0.51,0.48,0.06
169,5,12.5,10.9,2.9,0.51,0.52,0.49,0.14
170,5,13,11.2,3.1,0.52,0.52,0.49,0.14
1,6,11.3,12.4,5.1,0.48,0.51,0.49,0.04
2,6,10.5,11.5,3.9,0.47,0.51,0.49,0.04
3,6,12.5,12.9,4.1,0.49,0.51,0.49,0.07
4,6,10.9,11.5,3.3,0.51,0.51,0.50,0.06
5,6,11.3,11.7,3.5,0.51,0.51,0.49,0.04
6,6,11.1,11.8,4.3,0.50,0.51,0.49,0.08
7,6,11,12.2,3.7,0.50,0.51,0.49,0.14
8,6,11.3,11.3,3,0.49,0.51,0.49,0.07
9,6,12.8,11.5,3,0.50,0.51,0.49,0.14
10,6,13.8,12,3.4,0.51,0.51,0.49,0.13
11,6,11.1,10.9,3.4,0.51,0.51,0.49,0.09
12,6,10.7,11.2,3.8,0.51,0.51,0.49,0.02
13,6,10.5,11.4,3.2,0.48,0.50,0.49,0.03
14,6,9.6,10.5,2.4,0.44,0.49,0.48,0.04
15,6,11.6,11.6,3.8,0.48,0.51,0.49,0.01
16,6,9.2,10.2,4.5,0.48,0.50,0.48,0.01
17,6,11.3,12.4,5.1,0.48,0.51,0.49,0.04
18,6,10.5,11.5,3.9,0.47,0.51,0.49,0.04
19,6,12.5,12.9,4.1,0.49,0.51,0.49,0.07
20,6,10.9,11.5,3.3,0.51,0.51,0.50,0.06
21,6,11.3,11.7,3.5,0.51,0.51,0.49,0.04
22,6,11.1,11.8,4.3,0.50,0.51,0.49,0.08
23,6,11,12.2,3.7,0.50,0.51,0.49,0.14
24,6,11.3,11.3,3,0.49,0.51,0.49,0.07
25,6,12.8,11.5,3,0.50,0.51,0.49,0.14
26,6,13.8,12,3.4,0.51,0.51,0.49,0.13
27,6,11.1,10.9,3.4,0.51,0.51,0.49,0.09
28,6,10.7,11.2,3.8,0.51,0.51,0.49,0.02
